127.0.0.1 - - [29/Dec/2023:09:26:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:26:30 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:26:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:26:34 +0900] "POST /JSPBasic/request/quiz02_ok.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:26:46 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:26:55 +0900] "POST /JSPBasic/request/quiz02_ok.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:28:40 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:28:47 +0900] "POST /JSPBasic/request/quiz02_ok.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:38:01 +0900] "GET /JSPBasic/request/ex03.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:38:04 +0900] "GET /JSPBasic/request/ex04.jsp?age=20&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 500 2558
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:38:07 +0900] "GET /JSPBasic/request/ex04.jsp?age=20&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 500 2920
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:38:08 +0900] "GET /JSPBasic/request/ex04.jsp?age=20&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 500 2920
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:38:08 +0900] "GET /JSPBasic/request/ex04.jsp?age=20&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 500 2920
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:38:09 +0900] "GET /JSPBasic/request/ex04.jsp?age=20&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 500 2558
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:38:10 +0900] "GET /JSPBasic/request/ex04.jsp?age=20&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 500 2920
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:38:10 +0900] "GET /JSPBasic/request/ex04.jsp?age=20&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 500 2920
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:38:10 +0900] "GET /JSPBasic/request/ex04.jsp?age=20&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 500 2920
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:38:11 +0900] "GET /JSPBasic/request/ex04.jsp?age=20&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 500 2920
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:38:11 +0900] "GET /JSPBasic/request/ex04.jsp?age=20&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 500 2920
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:38:12 +0900] "GET /JSPBasic/request/ex04.jsp?age=20&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 500 2920
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:39:23 +0900] "GET /JSPBasic/request/ex03.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:39:25 +0900] "GET /JSPBasic/request/ex04.jsp?age=20&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 200 214
